Date,Open,High,Low,Close,Close-Open,Absolute(Close-Open),,Mean - (Close),41465.32069,
11-May-23,43535.1,43774.25,43367.25,43475.3,-59.8,59.8,,Standard Deviation - (Close),1232.551305,
10-May-23,43275.25,43383.65,42822.15,43331.05,55.8,55.8,,Mean - (Close - Open),-47.39195402,Not to be used
09-May-23,43438.55,43533.25,43125.85,43198.15,-240.4,240.4,,Standard Deviation - (Close - Open),341.2192458,Not to be used
08-May-23,42796.85,43418.55,42780.3,43284,487.15,487.15,,Abs - Mean (Close - Open),262.5241379,
05-May-23,43110.65,43588,42582.2,42661.2,-449.45,449.45,,Abs - Standard Deviation (Close - Open),223.0642239,
04-May-23,43236.1,43739.8,43213.95,43685.45,449.35,449.35,,,,
03-May-23,43154.85,43354.95,43078.15,43312.7,157.85,157.85,,,,
02-May-23,43395.05,43483.85,43269.4,43352.1,-42.95,42.95,,,,
28-Apr-23,43045.5,43302.05,42810.35,43233.9,188.4,188.4,,,,
27-Apr-23,42753.9,43043.4,42736.6,43000.85,246.95,246.95,,,,
26-Apr-23,42559.05,42875.6,42432.25,42829.9,270.85,270.85,,,,
25-Apr-23,42731.6,42865.55,42601.5,42678.5,-53.1,53.1,,,,
24-Apr-23,42469.95,42714.15,42269.1,42635.75,165.8,165.8,,,,
21-Apr-23,42252.55,42382.15,41962.35,42118,-134.55,134.55,,,,
20-Apr-23,42218.5,42378.15,42108.85,42269.5,51,51,,,,
19-Apr-23,42280.1,42339.9,42022.15,42154,-126.1,126.1,,Mean - (Close),41465.32069,
18-Apr-23,42406.95,42500.7,42114.35,42265.2,-141.75,141.75,,Standard Deviation - (Close),1232.551305,
17-Apr-23,42603.55,42603.55,41799,42262.55,-341,341,,,,
13-Apr-23,41680.1,42196.2,41502.65,42132.55,452.45,452.45,,,,
12-Apr-23,41426,41610.15,41332,41557.95,131.95,131.95,,Abs - Mean (Close - Open),262.5241379,
11-Apr-23,41232,41403.25,40990.2,41366.5,134.5,134.5,,Abs - Standard Deviation (Close - Open),223.0642239,
10-Apr-23,41116.15,41139.85,40727.25,40834.65,-281.5,281.5,,1day change ?,,
06-Apr-23,40940.7,41274.7,40820.55,41041,100.3,100.3,,,,
05-Apr-23,40972.3,41071.15,40802.65,40999.15,26.85,26.85,,,,
03-Apr-23,40695.8,40857.6,40535.9,40813.05,117.25,117.25,,,,
31-Mar-23,40231.25,40690.4,40180.2,40608.65,377.4,377.4,,,,
29-Mar-23,39611.55,40055,39609.55,39910.15,298.6,298.6,,,,
28-Mar-23,39545.05,39645.2,39326.1,39567.9,22.85,22.85,,,,
27-Mar-23,39484.7,39695.2,39273.75,39431.3,-53.4,53.4,,,,
24-Mar-23,39555.25,39767.9,39294.9,39395.35,-159.9,159.9,,,,
23-Mar-23,39836.15,40201.6,39552.5,39616.9,-219.25,219.25,,,,
22-Mar-23,40036,40085.6,39837.8,39999.05,-36.95,36.95,,,,
21-Mar-23,39599.65,39970.9,39366.3,39894.7,295.05,295.05,,,,
20-Mar-23,39512.1,39512.1,38941.9,39361.95,-150.15,150.15,,,,
17-Mar-23,39442.4,39705.15,38926.8,39598.1,155.7,155.7,,,,
16-Mar-23,39061.7,39381.4,38613.15,39132.6,70.9,70.9,,,,
15-Mar-23,39777.9,39914.1,38934.65,39051.5,-726.4,726.4,,,,
14-Mar-23,39522.4,39768.5,39132.6,39411.4,-111,111,,,,
13-Mar-23,40356.1,40690.05,39454.6,39564.7,-791.4,791.4,,,,
10-Mar-23,40805.25,40839,40341.7,40485.45,-319.8,319.8,,,,
09-Mar-23,41532.65,41659,41208.1,41256.75,-275.9,275.9,,,,
08-Mar-23,41178.35,41625.35,41100.35,41577.1,398.75,398.75,,,,
06-Mar-23,41418.4,41671.2,41259.15,41350.4,-68,68,,,,
03-Mar-23,40671.4,41390.15,40605.35,41251.35,579.95,579.95,,,,
02-Mar-23,40604.55,40773.25,40312.9,40389.8,-214.75,214.75,,,,
01-Mar-23,40473.85,40725.35,40341.95,40698.15,224.3,224.3,,,,
28-Feb-23,40302.7,40391.45,40073,40269.05,-33.65,33.65,,,,
27-Feb-23,39820.4,40371.45,39745.4,40307.1,486.7,486.7,,,,
24-Feb-23,40259.1,40348.1,39818.9,39909.4,-349.7,349.7,,,,
23-Feb-23,39983.7,40147.8,39600.25,40001.55,17.85,17.85,,,,
22-Feb-23,40494.15,40529.25,39899,39995.9,-498.25,498.25,,,,
21-Feb-23,40784.9,40946.2,40508.25,40673.6,-111.3,111.3,,,,
20-Feb-23,41221.55,41292.6,40580.1,40701.7,-519.85,519.85,,,,
17-Feb-23,41514,41516.3,40882.7,41131.75,-382.25,382.25,,,,
16-Feb-23,41925.7,41979.1,41521.95,41631.35,-294.35,294.35,,,,
15-Feb-23,41674.6,41795.45,41455.6,41731.05,56.45,56.45,,,,
14-Feb-23,41410.45,41718,41195.75,41648.35,237.9,237.9,,,,
13-Feb-23,41563.5,41662.55,41157.9,41282.2,-281.3,281.3,,,,
10-Feb-23,41452.4,41678.9,41424.9,41559.4,107,107,,,,
09-Feb-23,41634,41634,41252.95,41554.3,-79.7,79.7,,,,
08-Feb-23,41542.05,41791.95,41403.05,41537.65,-4.4,4.4,,,,
07-Feb-23,41513.1,41630.75,41095.1,41490.95,-22.15,22.15,,,,
06-Feb-23,41530.15,41724.5,41261.2,41374.65,-155.5,155.5,,,,
03-Feb-23,41019.35,41539.95,40609.75,41499.7,480.35,480.35,,,,
02-Feb-23,39943.35,40757.6,39761.45,40669.3,725.95,725.95,,,,
01-Feb-23,41115,42015.65,39490.5,40513,-602,602,,,,
31-Jan-23,40563.85,40811.65,40167.7,40655.05,91.2,91.2,,,,
30-Jan-23,39856.15,40789.55,39419.8,40387.45,531.3,531.3,,,,
27-Jan-23,41382.35,41417.9,40148.8,40345.3,-1037.05,1037.05,,,,
25-Jan-23,42703.6,42733.05,41540.3,41647.65,-1055.95,1055.95,,,,
24-Jan-23,42994.45,43078.9,42615.65,42733.45,-261,261,,,,
23-Jan-23,42891.45,43005.85,42727.7,42821.25,-70.2,70.2,,,,
20-Jan-23,42516.05,42709.2,42366.15,42506.8,-9.25,9.25,,,,
19-Jan-23,42416.3,42506.25,42234.9,42328.85,-87.45,87.45,,,,
18-Jan-23,42271.8,42555.9,42119.65,42458,186.2,186.2,,,,
17-Jan-23,42241.2,42383.8,41861.1,42235.05,-6.15,6.15,,,,
16-Jan-23,42622.5,42715.65,42066.55,42167.55,-454.95,454.95,,,,
13-Jan-23,42171.25,42453.95,41885.6,42371.25,200,200,,,,
12-Jan-23,42238.5,42343.5,41742.95,42082.25,-156.25,156.25,,,,
11-Jan-23,42071.85,42318,41729,42232.7,160.85,160.85,,,,
10-Jan-23,42642,42674.25,41835.75,42014.75,-627.25,627.25,,,,
09-Jan-23,42404.85,42716.8,42186.55,42582.75,177.9,177.9,,,,
06-Jan-23,42649.7,42685.9,41877,42188.8,-460.9,460.9,,,,
05-Jan-23,43073.05,43137.55,42298.6,42608.7,-464.35,464.35,,,,
04-Jan-23,43417.5,43578.4,42858.65,42958.8,-458.7,458.7,,,,
03-Jan-23,43151.45,43482.8,43148.45,43425.25,273.8,273.8,,,,
02-Jan-23,43038.25,43382.75,42961.75,43203.1,164.85,164.85,,,,
